appointmentID,SSN,nurseID,physicianID,start,end,examination_room,appointment_cost
1,100000001,101,1,4/24/2008 10:00,4/24/2008 11:00,A,200
2,100000002,101,2,4/24/2008 10:00,4/24/2008 11:00,B,200
3,100000004,103,4,4/25/2008 10:00,4/25/2008 11:00,B,200
4,100000004,101,4,4/26/2008 10:00,4/26/2008 11:00,C,200
5,100000003,103,2,4/26/2008 11:00,4/26/2008 12:00,C,200
6,100000001,103,3,4/26/2008 12:00,4/26/2008 13:00,C,200
7,100000004,102,9,4/27/2008 10:00,4/27/2008 11:00,A,200
8,100000002,101,2,4/27/2008 10:00,4/27/2008 11:00,B,200
9,100000014,114,4,8/12/2019 10:00,8/12/2019 11:00,F,200
10,100000081,111,9,8/12/2019 10:00,8/12/2019 11:00,M,200
11,100000070,115,19,8/12/2019 10:00,8/12/2019 11:00,H,150
12,100000024,116,35,8/12/2019 10:00,8/12/2019 11:00,C,150
13,100000061,104,8,8/12/2019 10:00,8/12/2019 11:00,G,150
14,100000064,113,15,8/12/2019 10:00,8/12/2019 11:00,B,150
15,100000076,119,28,8/12/2019 10:00,8/12/2019 11:00,A,150
16,100000070,119,34,8/12/2019 10:00,8/12/2019 11:00,L,150
17,100000037,107,26,8/12/2019 10:00,8/12/2019 11:00,J,150
18,100000022,114,1,8/12/2019 10:00,8/12/2019 11:00,K,150
19,100000104,117,12,8/12/2019 10:00,8/12/2019 11:00,D,150
20,100000060,108,11,8/14/2019 12:00,8/14/2019 13:00,F,150
21,100000030,114,13,8/14/2019 12:00,8/14/2019 13:00,M,200
22,100000085,104,22,8/14/2019 12:00,8/14/2019 13:00,F,200
23,100000026,120,18,8/14/2019 12:00,8/14/2019 13:00,L,200
24,100000047,101,6,8/14/2019 12:00,8/14/2019 13:00,K,200
25,100000025,113,12,8/14/2019 12:00,8/14/2019 13:00,G,200
26,100000011,112,28,8/14/2019 12:00,8/14/2019 13:00,I,200
27,100000085,107,7,8/14/2019 12:00,8/14/2019 13:00,J,200
28,100000016,119,12,8/20/2019 15:00,8/20/2019 17:30,B,200
29,100000025,107,29,8/20/2019 15:00,8/20/2019 17:30,C,200
30,100000038,114,21,8/20/2019 15:00,8/20/2019 17:30,K,200
31,100000054,113,8,8/20/2019 15:00,8/20/2019 17:30,G,500
32,100000009,104,1,8/20/2019 15:00,8/20/2019 17:30,M,500
33,100000101,108,15,8/20/2019 15:00,8/20/2019 17:30,E,500
34,100000039,113,6,8/20/2019 15:00,8/20/2019 17:30,D,500
35,100000006,110,7,9/12/2019 15:00,9/12/2019 16:00,H,500
36,100000067,115,19,9/12/2019 15:00,9/12/2019 16:00,L,500
37,100000090,102,3,9/12/2019 15:00,9/12/2019 16:00,J,500
38,100000080,104,19,9/12/2019 15:00,9/12/2019 16:00,L,500
39,100000041,106,4,9/12/2019 15:00,9/12/2019 16:00,I,500
40,100000104,107,30,9/12/2019 15:00,9/12/2019 16:00,M,500
41,100000074,120,28,9/15/2019 11:00,9/15/2019 12:00,L,150
42,100000096,108,6,9/15/2019 11:00,9/15/2019 12:00,E,150
43,100000032,114,30,9/15/2019 11:00,9/15/2019 12:00,D,150
44,100000004,110,20,9/15/2019 11:00,9/15/2019 12:00,I,150
45,100000048,117,4,9/15/2019 11:00,9/15/2019 12:00,J,150
46,100000007,114,32,9/15/2019 11:00,9/15/2019 12:00,G,150
47,100000104,115,5,9/15/2019 11:00,9/15/2019 12:00,A,150
48,100000058,112,14,9/15/2019 11:00,9/15/2019 12:00,H,150
49,100000079,118,32,9/15/2019 11:00,9/15/2019 12:00,B,150
50,100000034,116,26,10/1/2019 13:00,10/1/2019 14:30,A,150
51,100000094,101,13,10/1/2019 13:00,10/1/2019 14:30,G,150
52,100000017,114,12,10/1/2019 13:00,10/1/2019 14:30,C,150
53,100000040,117,16,10/1/2019 13:00,10/1/2019 14:30,M,150
54,100000082,107,28,10/1/2019 13:00,10/1/2019 14:30,K,150
55,100000068,110,1,10/1/2019 13:00,10/1/2019 14:30,E,150
56,100000075,111,23,11/15/2019 13:00,11/15/2019 14:30,J,750
57,100000064,113,22,11/15/2019 13:00,11/15/2019 14:30,M,750
58,100000041,112,31,11/15/2019 13:00,11/15/2019 14:30,L,750
59,100000035,119,10,11/30/2019 11:00,11/30/2019 12:30,B,750
60,100000101,105,31,11/30/2019 11:00,11/30/2019 12:30,J,750
61,100000069,101,25,11/30/2019 11:00,11/30/2019 12:30,H,750
62,100000005,118,6,11/30/2019 11:00,11/30/2019 12:30,D,750
63,100000009,101,20,11/30/2019 11:00,11/30/2019 12:30,C,750
64,100000090,104,26,12/5/2019 11:00,12/5/2019 12:30,D,750
65,100000051,104,27,12/5/2019 11:00,12/5/2019 12:30,M,750
66,100000047,110,4,12/5/2019 11:00,12/5/2019 12:30,B,550
67,100000035,110,10,12/5/2019 11:00,12/5/2019 12:30,F,550
68,100000081,115,20,12/11/2019 12:00,12/11/2019 13:30,H,550
