"SSN";"Name";"Address";"Phone";"InsuranceID";"PCP"
"100000001";"John Smith";"42 Foobar Lane";"555-0256";"68476213";"1"
"100000002";"Grace Ritchie";"37 Snafu Drive";"555-0512";"36546321";"2"
"100000003";"Random J. Patient";"101 Omgbbq Street";"555-1204";"65465421";"2"
"100000004";"Dennis Doe";"1100 Foobaz Avenue";"555-2048";"68421879";"3"
"100000005";"Damian Hays";"156-2656 Ornare Av.";"136-7328";"68421880";"31"
"100000006";"Karly Jackson";"975-5765 Ac Avenue";"010-2391";"68421881";"19"
"100000007";"Kato Luna";"643-4443 Cursus. Rd.";"860-3924";"68421882";"16"
"100000008";"Xandra Skinner";"492-149 Viverra. Street";"760-0449";"68421883";"29"
"100000009";"Anthony Moses";"819-6082 A Street";"320-2649";"68421884";"4"
"100000010";"Daryl Decker";"Ap #914-7548 Cursus St.";"203-3315";"68421885";"23"
"100000011";"Zelda Macias";"9418 Ac Rd.";"226-1378";"68421886";"24"
"100000012";"Guy Cash";"996-3237 Aliquet. St.";"448-3875";"68421887";"25"
"100000013";"Dolan Hamilton";"2930 Molestie St.";"136-0958";"68421888";"18"
"100000014";"Thane Byers";"P.O. Box 615, 7599 Semper St.";"860-2025";"68421889";"17"
"100000015";"Boris Howard";"906-8071 Orci St.";"252-1109";"68421890";"5"
"100000016";"Elizabeth Chan";"9900 Eget Road";"076-7364";"68421891";"30"
"100000017";"Jelani Snow";"960-2567 Urna. Rd.";"491-8057";"68421892";"29"
"100000018";"Scott Levy";"Ap #449-3704 Fringilla Road";"565-4449";"68421893";"7"
"100000019";"Maris Tillman";"Ap #347-131 Sit Ave";"948-4057";"68421894";"21"
"100000020";"Mara Walton";"5709 Justo Rd.";"222-5502";"68421895";"35"
"100000021";"Jackson Beck";"6255 Massa. Avenue";"020-3493";"68421896";"22"
"100000022";"Darius Cooper";"Ap #960-4409 Mauris Rd.";"868-4161";"68421897";"26"
"100000023";"Dillon Hess";"2301 Amet Rd.";"055-4215";"68421898";"33"
"100000024";"Daniel Chambers";"618 Ultrices Av.";"906-1257";"68421899";"14"
"100000025";"Stephanie Mueller";"Ap #573-2893 Massa. Street";"758-8606";"68421900";"8"
"100000026";"Garrett Massey";"Ap #980-4115 At, Ave";"085-5007";"68421901";"24"
"100000027";"Gay Olson";"Ap #439-9506 Laoreet, Street";"415-9560";"68421902";"33"
"100000028";"Xaviera Noble";"731-8219 Aliquet St.";"392-0206";"68421903";"15"
"100000029";"Montana Weaver";"Ap #710-5526 A, St.";"815-8804";"68421904";"7"
"100000030";"Clarke Pennington";"2821 Ridiculus Street";"177-5796";"68421905";"35"
"100000031";"Roanna Gentry";"P.O. Box 266, 1853 Scelerisque";"689-0008";"68421906";"27"
"100000032";"Lev Schneider";"4116 Magna. St.";"551-6013";"68421907";"31"
"100000033";"Troy Underwood";"3330 Nibh. St.";"857-4502";"68421908";"31"
"100000034";"Zelda Sherman";"P.O. Box 429, 7338 Nam Ave";"082-7403";"68421909";"26"
"100000035";"Jesse Kerr";"677-1698 Justo Ave";"520-6690";"68421910";"5"
"100000036";"Tashya Martin";"297-6150 Velit. Rd.";"992-7095";"68421911";"29"
"100000037";"Dominic Moran";"561-2490 Ac Ave";"120-5936";"68421912";"11"
"100000038";"Colorado Massey";"8601 Erat St.";"940-3349";"68421913";"19"
"100000039";"Jamal Dickson";"883-1729 Semper. Ave";"517-0124";"68421914";"14"
"100000040";"Lynn Juarez";"3393 Dolor Rd.";"744-5123";"68421915";"28"
"100000041";"Austin Lindsey";"P.O. Box 745, 3393 Pulvinar Av";"898-5019";"68421916";"17"
"100000042";"Vivien Melendez";"638-7555 Morbi Av.";"993-5490";"68421917";"16"
"100000043";"Merritt Howell";"Ap #424-1895 Dui Ave";"458-3638";"68421918";"24"
"100000044";"Tatum Livingston";"P.O. Box 215, 9497 Justo Ave";"361-6793";"68421919";"18"
"100000045";"Tashya Mendez";"Ap #773-7842 Tempor Avenue";"143-4973";"68421920";"10"
"100000046";"Naomi Conway";"991-9863 Integer St.";"959-5430";"68421921";"14"
"100000047";"Clark Giles";"951-4646 Dictum. Av.";"596-7761";"68421922";"4"
"100000048";"Jocelyn Rollins";"P.O. Box 642, 5967 Dui St.";"649-5796";"68421923";"7"
"100000049";"Carl Prince";"4884 Ultrices Rd.";"360-8619";"68421924";"33"
"100000050";"Keane Mckinney";"Ap #720-4584 Enim Rd.";"115-4196";"68421925";"22"
"100000051";"Adrienne Foley";"959-6534 Posuere Av.";"918-2745";"68421926";"11"
"100000052";"Noelle Mcclure";"P.O. Box 107, 7420 Nunc Ave";"454-6452";"68421927";"16"
"100000053";"Montana Kaufman";"Ap #848-3035 Quam Rd.";"045-9140";"68421928";"28"
"100000054";"Hamish Farley";"895-9905 Nec Ave";"425-9480";"68421929";"28"
"100000055";"Mikayla Hebert";"3515 Ullamcorper, St.";"593-8052";"68421930";"1"
"100000056";"Winter Peck";"Ap #997-8390 Nullam St.";"525-5040";"68421931";"22"
"100000057";"Sopoline Clayton";"933-6221 Lectus, Av.";"389-7295";"68421932";"25"
"100000058";"Amir Madden";"727-5043 Proin Av.";"761-0978";"68421933";"7"
